Position, Position error, Orientation error, Joint error
[0.3 0.7 0. ], [ 0.738  0.54  -0.903], [-0.287 -0.756  0.228  0.364], [-0.062 -1.556 -0.    -0.726 -0.    -3.316 -0.767 -0.     0.   ]
[0.4 0.7 0. ], [ 0.844  0.542 -0.899], [-0.287 -0.75   0.223  0.359], [-0.107 -1.557 -0.    -0.719 -0.    -3.342 -0.821 -0.     0.   ]
[0.5 0.7 0. ], [-0.014 -0.055 -0.07 ], [ 0.082  0.147 -0.146  0.213], [ 0.305  0.    -0.    -0.841  0.    -0.156 -0.    -0.     0.   ]
[0.6 0.7 0. ], [ 0.089 -0.055 -0.061], [ 0.073  0.146 -0.136  0.195], [ 0.226 -0.    -0.    -0.717  0.    -0.144  0.     0.     0.   ]
[0.7 0.7 0. ], [ 0.188 -0.055 -0.061], [ 0.076  0.145 -0.142  0.204], [ 0.202 -0.     0.    -0.716  0.    -0.118 -0.    -0.     0.   ]
[0.  0.8 0. ], [ 0.416  0.632 -0.916], [-0.181 -0.802  0.282  0.328], [-0.403 -1.853 -0.    -2.186 -0.    -2.998  0.    -0.     0.   ]
[0.1 0.8 0. ], [ 0.523  0.634 -0.912], [-0.281 -0.768  0.236  0.376], [-0.257 -1.719 -0.    -1.67   0.    -3.132 -0.074 -0.     0.   ]
[0.2 0.8 0. ], [ 0.596  0.657 -0.906], [-0.245 -0.774  0.214  0.394], [-0.    -1.574  0.    -0.854 -0.    -3.286 -0.476  0.    -0.   ]
[0.3 0.8 0. ], [ 0.7    0.655 -0.906], [-0.249 -0.772  0.215  0.391], [-0.    -1.555 -0.    -0.721 -0.    -3.328 -0.614  0.    -0.   ]
[0.4 0.8 0. ], [ 0.823  0.644 -0.906], [-0.274 -0.763  0.225  0.375], [ 0.    -1.556  0.    -0.718  0.    -3.353 -0.683  0.    -0.   ]
[0.5 0.8 0. ], [ 0.936  0.639 -0.904], [-0.285 -0.757  0.228  0.366], [-0.023 -1.557 -0.    -0.718  0.    -3.377 -0.736 -0.     0.   ]
[0.6 0.8 0. ], [ 1.04   0.642 -0.9  ], [-0.285 -0.753  0.224  0.363], [-0.064 -1.559 -0.    -0.719 -0.    -3.401 -0.777  0.    -0.   ]
[0.7 0.8 0. ], [ 0.192  0.045 -0.055], [ 0.064  0.142 -0.117  0.163], [ 0.303 -0.    -0.    -0.717  0.    -0.111 -0.    -0.     0.   ]
[0.  0.9 0. ], [ 0.394  0.76  -0.904], [-0.157 -0.794  0.245  0.344], [ 0.    -1.682 -0.    -1.567  0.    -3.169 -0.    -0.     0.   ]
[0.1 0.9 0. ], [ 0.415  0.786 -0.903], [-0.159 -0.792  0.178  0.447], [-0.    -1.585 -0.    -0.94  -0.    -3.272 -0.172 -0.     0.   ]
[0.2 0.9 0. ], [ 0.515  0.784 -0.905], [-0.16  -0.794  0.181  0.448], [-0.    -1.557  0.    -0.731 -0.    -3.32  -0.377 -0.     0.   ]
[0.3 0.9 0. ], [ 0.649  0.773 -0.906], [-0.196 -0.788  0.195  0.425], [ 0.    -1.555 -0.    -0.718  0.    -3.343 -0.482 -0.     0.   ]
[0.4 0.9 0. ], [ 0.777  0.763 -0.907], [-0.226 -0.781  0.208  0.407], [-0.    -1.556  0.    -0.718 -0.    -3.366 -0.561  0.    -0.   ]
[0.5 0.9 0. ], [ 0.899  0.753 -0.907], [-0.249 -0.774  0.217  0.392], [-0.    -1.557 -0.    -0.718 -0.    -3.389 -0.624 -0.     0.   ]
[0.6 0.9 0. ], [ 1.017  0.745 -0.907], [-0.268 -0.767  0.225  0.379], [-0.    -1.558 -0.    -0.718 -0.    -3.412 -0.675 -0.     0.   ]
[0.7 0.9 0. ], [ 1.132  0.739 -0.905], [-0.283 -0.76   0.229  0.369], [-0.003 -1.559 -0.    -0.718 -0.    -3.436 -0.717 -0.     0.   ]
[0. 1. 0.], [ 0.183  0.899 -0.896], [-0.01  -0.8    0.136  0.524], [-0.    -1.566  0.    -0.806 -0.    -3.299  0.    -0.     0.   ]
[0.1 1.  0. ], [ 0.322  0.897 -0.901], [-0.066 -0.803  0.148  0.509], [ 0.    -1.557  0.    -0.729  0.    -3.322 -0.138 -0.     0.   ]
[0.2 1.  0. ], [ 0.467  0.892 -0.904], [-0.112 -0.801  0.165  0.479], [ 0.    -1.556 -0.    -0.719  0.    -3.341 -0.267 -0.     0.   ]
[0.3 1.  0. ], [ 0.605  0.884 -0.906], [-0.151 -0.797  0.18   0.454], [-0.    -1.556 -0.    -0.718 -0.    -3.36  -0.371  0.    -0.   ]
[0.4 1.  0. ], [ 0.736  0.875 -0.908], [-0.183 -0.792  0.193  0.434], [ 0.    -1.557 -0.    -0.718 -0.    -3.381 -0.455  0.    -0.   ]
[0.5 1.  0. ], [ 0.86   0.866 -0.909], [-0.209 -0.787  0.203  0.418], [-0.    -1.557  0.    -0.718 -0.    -3.403 -0.524 -0.     0.   ]
[0.6 1.  0. ], [ 0.98   0.858 -0.909], [-0.231 -0.781  0.212  0.405], [-0.    -1.558  0.    -0.718 -0.    -3.425 -0.581 -0.     0.   ]
[0.7 1.  0. ], [ 1.097  0.851 -0.909], [-0.249 -0.776  0.219  0.393], [-0.    -1.559 -0.    -0.718 -0.    -3.448 -0.629 -0.     0.   ]
[0.  1.1 0. ], [ 0.135  0.992 -0.894], [ 0.052 -0.796  0.126  0.546], [ 0.    -1.557  0.    -0.721  0.    -3.333 -0.    -0.     0.   ]
[0.1 1.1 0. ], [ 0.286  0.995 -0.899], [-0.03  -0.803  0.138  0.534], [ 0.    -1.557  0.    -0.719  0.    -3.346 -0.058  0.    -0.   ]
[0.2 1.1 0. ], [ 0.431  0.994 -0.903], [-0.075 -0.804  0.154  0.504], [-0.    -1.557  0.    -0.718 -0.    -3.362 -0.177 -0.     0.   ]
[0.3 1.1 0. ], [ 0.568  0.989 -0.906], [-0.114 -0.803  0.168  0.479], [-0.    -1.557 -0.    -0.718  0.    -3.379 -0.278  0.    -0.   ]
[0.4 1.1 0. ], [ 0.7    0.982 -0.908], [-0.146 -0.8    0.181  0.458], [-0.    -1.557  0.    -0.718  0.    -3.398 -0.363 -0.    -0.   ]
[0.5 1.1 0. ], [ 0.825  0.975 -0.909], [-0.174 -0.796  0.192  0.441], [-0.    -1.558  0.    -0.718 -0.    -3.418 -0.436 -0.     0.   ]
[0.6 1.1 0. ], [ 0.947  0.968 -0.91 ], [-0.197 -0.792  0.201  0.427], [-0.    -1.559 -0.    -0.717 -0.    -3.44  -0.497  0.    -0.   ]
[0.7 1.1 0. ], [ 1.065  0.961 -0.911], [-0.217 -0.787  0.209  0.415], [-0.    -1.559 -0.    -0.717 -0.    -3.461 -0.549 -0.     0.   ]
[0.  1.2 0. ], [ 0.114  1.088 -0.893], [ 0.092 -0.791  0.124  0.546], [ 0.    -1.558  0.    -0.719  0.    -3.359 -0.    -0.     0.   ]
[0.1 1.2 0. ], [ 0.26   1.092 -0.898], [-0.002 -0.803  0.132  0.55 ], [-0.    -1.558 -0.    -0.719 -0.    -3.37   0.     0.    -0.   ]
[0.2 1.2 0. ], [ 0.401  1.093 -0.902], [-0.046 -0.806  0.146  0.524], [-0.    -1.558  0.    -0.718 -0.    -3.383 -0.104  0.    -0.   ]
[0.3 1.2 0. ], [ 0.537  1.09  -0.905], [-0.082 -0.806  0.159  0.5  ], [-0.    -1.558  0.    -0.718 -0.    -3.399 -0.201 -0.     0.   ]
[0.4 1.2 0. ], [ 0.668  1.086 -0.908], [-0.114 -0.805  0.171  0.48 ], [ 0.    -1.558 -0.    -0.718 -0.    -3.417 -0.285  0.    -0.   ]
[0.5 1.2 0. ], [ 0.795  1.081 -0.909], [-0.142 -0.803  0.182  0.462], [-0.    -1.559 -0.    -0.718 -0.    -3.436 -0.358  0.    -0.   ]
[0.6 1.2 0. ], [ 0.917  1.074 -0.911], [-0.166 -0.8    0.192  0.447], [-0.    -1.559 -0.    -0.717 -0.    -3.455 -0.422 -0.     0.   ]
