Position, Position error, Orientation error, Joint error
[0.1 0.9 0. ], [0.011 0.013 0.   ], [-0.     0.002  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 0.9 0. ], [0.06  0.053 0.001], [0.001 0.011 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 0.9 0. ], [0.123 0.09  0.001], [0.003 0.021 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.9 0. ], [0.196 0.12  0.001], [0.007 0.031 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.9 0. ], [0.274 0.145 0.002], [0.013 0.041 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.9 0. ], [0.357 0.166 0.002], [0.018 0.051 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.9 0. ], [0.442 0.184 0.001], [0.025 0.061 0.002 0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0. 1. 0.], [0.018 0.038 0.   ], [-0.002  0.005  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.  0. ], [0.05  0.073 0.001], [-0.002  0.012  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.  0. ], [0.097 0.109 0.001], [-0.001  0.02   0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.  0. ], [0.156 0.142 0.001], [0.001 0.029 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.  0. ], [0.224 0.172 0.001], [0.005 0.039 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.  0. ], [0.298 0.198 0.002], [0.01  0.048 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.  0. ], [0.377 0.221 0.001], [0.015 0.058 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.  0. ], [0.459 0.24  0.001], [0.021 0.068 0.002 0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.1 0. ], [0.047 0.118 0.001], [-0.007  0.016  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.1 0. ], [0.083 0.145 0.001], [-0.006  0.022  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.1 0. ], [0.13  0.175 0.001], [-0.004  0.03   0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.1 0. ], [0.186 0.205 0.001], [-0.002  0.038  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
