Position, Position error, Orientation error, Joint error
[0.4 0.8 0. ], [ 0.285 -0.632 -0.181], [ 0.15   0.202 -0.142  1.172], [-0.     0.    -0.     0.    -2.592  0.     0.    -0.     0.    -0.   ]
[0.5 0.8 0. ], [ 0.258 -0.567 -0.157], [ 0.125  0.186 -0.227  0.987], [-0.     0.     0.     0.    -2.18   0.    -0.005  0.     0.    -0.   ]
[0.6 0.8 0. ], [ 0.202 -0.493 -0.13 ], [ 0.106  0.178 -0.269  0.779], [ 0.    -0.     0.    -0.    -1.743 -0.    -0.056 -0.    -0.     0.   ]
[0.7 0.8 0. ], [ 0.113 -0.368 -0.09 ], [ 0.083  0.16  -0.256  0.508], [ 0.    -0.     0.     0.    -1.18  -0.    -0.122 -0.    -0.     0.   ]
[0.  0.9 0. ], [ 0.445  0.745 -0.902], [-0.219 -0.777  0.22   0.373], [ 0.    -0.    -1.656  0.    -1.427 -0.    -3.196 -0.     0.    -0.   ]
[0.1 0.9 0. ], [ 0.372  0.794 -0.9  ], [-0.152 -0.79   0.172  0.451], [ 0.    -0.    -1.593  0.    -1.004 -0.    -3.26  -0.088  0.     0.   ]
[0.2 0.9 0. ], [ 0.306  0.79  -0.897], [-0.061 -0.799  0.141  0.511], [-0.    -0.099 -1.55  -0.    -0.68   0.    -3.302 -0.264 -0.     0.   ]
[0.3 0.9 0. ], [ 0.139  0.665 -0.904], [ 0.14  -0.797  0.122  0.657], [ 0.    -0.351 -1.461 -0.    -0.09  -0.    -3.392 -0.588  0.     0.   ]
[0.4 0.9 0. ], [-0.109 -0.391 -0.173], [ 0.198  0.14  -0.223  0.984], [ 0.483  0.     0.    -0.    -2.649  0.     0.    -0.    -0.    -0.   ]
[0.5 0.9 0. ], [ 0.188 -0.501 -0.147], [ 0.126  0.174 -0.238  0.956], [ 0.136 -0.     0.    -0.    -2.244 -0.    -0.011 -0.    -0.     0.   ]
[0.6 0.9 0. ], [ 0.228 -0.468 -0.123], [ 0.092  0.179 -0.27   0.781], [ 0.021  0.    -0.    -0.    -1.764  0.    -0.06   0.     0.    -0.   ]
[0.7 0.9 0. ], [ 0.068 -0.226 -0.081], [ 0.074  0.155 -0.231  0.405], [ 0.137 -0.     0.     0.    -1.099 -0.    -0.132 -0.    -0.     0.   ]
[0. 1. 0.], [-0.007  0.863 -0.901], [ 0.138 -0.793  0.134  0.554], [ 0.    -0.    -1.553 -0.    -0.707 -0.    -3.301  0.     0.    -0.   ]
[0.1 1.  0. ], [ 0.091  0.852 -0.902], [ 0.047 -0.806  0.137  0.553], [ 0.    -0.    -1.554  0.    -0.714 -0.    -3.299  0.    -0.    -0.   ]
[0.2 1.  0. ], [ 0.059  0.786 -0.9  ], [ 0.121 -0.795  0.116  0.644], [-0.    -0.338 -1.541  0.    -0.617  0.    -3.311 -0.114  0.    -0.   ]
[0.3 1.  0. ], [ 0.125  0.707 -0.94 ], [ 0.331 -0.715  0.1    0.605], [ 0.    -0.733 -1.524 -0.    -0.126 -0.    -3.328 -0.342  0.     0.   ]
[0.4 1.  0. ], [ 0.081  0.57  -0.911], [ 0.346 -0.717  0.105  0.763], [ 0.274 -1.401 -1.51   0.    -0.242  0.    -3.344 -0.638  0.    -0.   ]
[0.5 1.  0. ], [-0.157 -0.101 -0.122], [ 0.148  0.124 -0.273  0.658], [ 0.675 -0.     0.     0.    -2.16  -0.    -0.04   0.    -0.     0.   ]
[0.6 1.  0. ], [ 0.029 -0.208 -0.108], [ 0.101  0.157 -0.267  0.579], [ 0.363  0.    -0.     0.    -1.689  0.    -0.077  0.     0.    -0.   ]
[0.7 1.  0. ], [-0.021  0.052 -0.064], [ 0.068  0.143 -0.147  0.211], [ 0.381 -0.     0.     0.    -0.909 -0.    -0.15  -0.    -0.     0.   ]
[0.  1.1 0. ], [ 0.313  0.851 -0.89 ], [-0.004 -0.793  0.119  0.551], [-0.635 -0.    -1.592 -0.    -1.054 -0.    -3.26  -0.285  0.     0.   ]
[0.1 1.1 0. ], [-0.103  0.793 -0.932], [ 0.341 -0.722  0.112  0.609], [ 0.    -0.276 -1.525 -0.    -0.286  0.    -3.328  0.     0.    -0.   ]
