Position, Position error, Orientation error, Joint error
[0.3 0.9 0. ], [ 0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 0.9 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 0.9 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 0.9 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 0.9 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0. 1. 0.], [ 0.001 -0.    -0.007], [ 0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.  0. ], [ 0.002 -0.    -0.008], [ 0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.  0. ], [ 0.003 -0.    -0.012], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.  0. ], [ 0.  0. -0.], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.  0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.  0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.  0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.  0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.1 0. ], [ 0.001 -0.    -0.007], [ 0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.1 0. ], [ 0.003 -0.    -0.008], [ 0.001  0.     0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.1 0. ], [ 0.012 -0.    -0.021], [ 0.001  0.001 -0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.1 0. ], [ 0.     0.    -0.002], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.1 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
